+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |scarcely            |26             |     |       |world               |4              |
|          |letters             |26             |     |       |curious             |4              |
|          |answer              |25             |     |       |friends             |4              |
|          |soil                |25             |     |       |freely              |4              |
|          |during              |25             |     |       |nor                 |4              |
|          |small               |25             |     |       |dared               |4              |
|          |give                |25             |     |       |end                 |4              |
|          |th                  |25             |     |       |wrought             |4              |
|          |volcano             |25             |     |       |another             |4              |
|          |action              |25             |     |       |blessed             |4              |
|          |taken               |25             |     |       |using               |4              |
|          |hope                |25             |     |       |located             |4              |
|          |science             |25             |     |       |once                |4              |
|          |stopped             |25             |     |       |could               |4              |
|          |trees               |25             |     |       |fire                |4              |
|          |ten                 |25             |     |       |thee—by             |4              |
|          |following           |25             |     |       |mission             |4              |
|          |crust               |25             |     |       |doubtless           |4              |
|          |foot                |25             |     |       |creating            |4              |
|          |below               |25             |     |       |allan               |4              |
|          |same                |25             |     |       |creation            |4              |
|          |waters              |25             |     |       |replacement         |4              |
|          |farther             |25             |     |       |second              |4              |
|          |poor                |25             |     |       |displaying          |4              |
|          |returned            |24             |     |       |way                 |4              |
|          |amongst             |24             |     |       |receive             |4              |
|          |north               |24             |     |       |bells               |4              |
|          |open                |24             |     |       |caught              |4              |
|          |foundation          |24             |     |       |fact                |4              |
|          |ever                |24             |     |       |dreams              |4              |
|          |human               |24             |     |       |frederick           |4              |
|          |sight               |24             |     |       |fees                |4              |
|          |immense             |24             |     |       |others              |4              |
|          |appeared            |24             |     |       |cried               |4              |
|          |form                |24             |     |       |latter              |4              |
|          |minutes             |24             |     |       |claudius            |4              |
|          |fall                |24             |     |       |surcease            |4              |
|          |least               |24             |     |       |gloating            |4              |
|          |besides             |24             |     |       |window              |4              |
|          |mean                |23             |     |       |minute              |4              |
|          |miles               |23             |     |       |created             |4              |
|          |midst               |23             |     |       |wide                |4              |
|          |arrived             |23             |     |       |hour                |4              |
|          |coming              |23             |     |       |neither             |4              |
|          |answered            |23             |     |       |great               |4              |
